,Date,From,To,Airline,Latitude (From),Longitude (From),Latitude (To),Longitude (To),Weekday,Mean distance (km),Mean flight time (hr),CO2 per pax (kg),#trees
28,2021-11-15,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Monday,3176.5,4.147222222222222,202.75989126454277,8.448328802689282
29,2021-11-08,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Monday,3176.5,4.147222222222222,202.75989126454277,8.448328802689282
30,2021-11-01,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Monday,3176.5,4.147222222222222,202.75989126454277,8.448328802689282
31,2021-10-25,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Monday,3176.5,4.147222222222222,202.75989126454277,8.448328802689282
32,2021-10-11,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Monday,3176.5,4.147222222222222,202.75989126454277,8.448328802689282
33,2021-10-04,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Monday,3176.5,4.147222222222222,202.75989126454277,8.448328802689282
34,2021-11-24,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Wednesday,3176.5,4.255128205128205,202.75989126454277,8.448328802689282
35,2021-11-17,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Wednesday,3176.5,4.255128205128205,202.75989126454277,8.448328802689282
36,2021-11-10,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Wednesday,3176.5,4.255128205128205,202.75989126454277,8.448328802689282
37,2021-11-03,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Wednesday,3176.5,4.255128205128205,202.75989126454277,8.448328802689282
38,2021-10-20,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Wednesday,3176.5,4.255128205128205,202.75989126454277,8.448328802689282
39,2021-10-13,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Wednesday,3176.5,4.255128205128205,202.75989126454277,8.448328802689282
40,2021-11-26,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Friday,3176.5,4.075,202.75989126454277,8.448328802689282
41,2021-11-19,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Friday,3176.5,4.075,202.75989126454277,8.448328802689282
42,2021-11-12,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Friday,3176.5,4.075,202.75989126454277,8.448328802689282
43,2021-11-05,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Friday,3176.5,4.075,202.75989126454277,8.448328802689282
44,2021-10-09,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Saturday,3176.5,4.13125,202.75989126454277,8.448328802689282
45,2021-11-06,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Saturday,3176.5,4.13125,202.75989126454277,8.448328802689282
46,2021-11-27,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Saturday,3223.77,4.13125,205.777193345473,8.574049722728041
47,2021-11-20,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Saturday,3223.77,4.13125,205.777193345473,8.574049722728041
48,2021-11-13,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Saturday,3223.77,4.13125,205.777193345473,8.574049722728041
49,2021-11-27,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Saturday,3223.77,4.13125,205.777193345473,8.574049722728041
50,2021-11-20,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Saturday,3223.77,4.13125,205.777193345473,8.574049722728041
51,2021-11-13,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Saturday,3223.77,4.13125,205.777193345473,8.574049722728041
52,2021-11-06,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Saturday,3223.77,4.13125,205.777193345473,8.574049722728041
53,2021-10-09,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Saturday,3223.77,4.13125,205.777193345473,8.574049722728041
54,2021-10-02,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Saturday,3223.77,4.13125,205.777193345473,8.574049722728041
55,2021-11-28,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Sunday,3223.77,4.082666666666666,205.777193345473,8.574049722728041
56,2021-11-21,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Sunday,3223.77,4.082666666666666,205.777193345473,8.574049722728041
57,2021-11-14,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Sunday,3223.77,4.082666666666666,205.777193345473,8.574049722728041
58,2021-11-07,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Sunday,3223.77,4.082666666666666,205.777193345473,8.574049722728041
59,2021-10-31,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Sunday,3223.77,4.082666666666666,205.777193345473,8.574049722728041
60,2021-10-24,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Sunday,3223.77,4.082666666666666,205.777193345473,8.574049722728041
61,2021-10-17,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Sunday,3223.77,4.082666666666666,205.777193345473,8.574049722728041
62,2021-10-10,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Sunday,3223.77,4.082666666666666,205.777193345473,8.574049722728041
63,2021-11-23,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Tuesday,3223.77,4.034722222222222,205.777193345473,8.574049722728041
64,2021-11-16,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Tuesday,3223.77,4.034722222222222,205.777193345473,8.574049722728041
65,2021-11-09,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Tuesday,3223.77,4.034722222222222,205.777193345473,8.574049722728041
66,2021-11-02,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Tuesday,3223.77,4.034722222222222,205.777193345473,8.574049722728041
67,2021-11-30,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Tuesday,3223.77,4.034722222222222,205.777193345473,8.574049722728041
68,2021-11-24,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Wednesday,3223.77,4.255128205128205,205.777193345473,8.574049722728041
69,2021-11-17,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Wednesday,3223.77,4.255128205128205,205.777193345473,8.574049722728041
70,2021-11-10,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Wednesday,3223.77,4.255128205128205,205.777193345473,8.574049722728041
71,2021-11-03,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Wednesday,3223.77,4.255128205128205,205.777193345473,8.574049722728041
72,2021-10-13,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Wednesday,3223.77,4.255128205128205,205.777193345473,8.574049722728041
73,2021-11-25,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Thursday,3223.77,4.032638888888889,205.777193345473,8.574049722728041
74,2021-11-18,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Thursday,3223.77,4.032638888888889,205.777193345473,8.574049722728041
75,2021-11-11,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Thursday,3223.77,4.032638888888889,205.777193345473,8.574049722728041
76,2021-11-04,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Thursday,3223.77,4.032638888888889,205.777193345473,8.574049722728041
77,2021-10-21,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Thursday,3223.77,4.032638888888889,205.777193345473,8.574049722728041
78,2021-10-07,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Thursday,3223.77,4.032638888888889,205.777193345473,8.574049722728041
79,2021-11-26,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Friday,3223.77,4.075,205.777193345473,8.574049722728041
80,2021-11-12,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Friday,3223.77,4.075,205.777193345473,8.574049722728041
81,2021-11-05,Amsterdam (AMS),Tenerife (TFS),TUI fly,52.3091,4.7634,28.4881,-16.346,Friday,3223.77,4.075,205.777193345473,8.574049722728041
82,2021-11-27,Amsterdam (AMS),Antalya (AYT),Corendon Airlines,52.3091,4.7634,36.9043,30.8019,Saturday,2654.68,3.4291666666666667,169.45148060511767,7.060478358546569
83,2021-11-13,Amsterdam (AMS),Antalya (AYT),Corendon Airlines,52.3091,4.7634,36.9043,30.8019,Saturday,2654.68,3.4291666666666667,169.45148060511767,7.060478358546569
84,2021-11-09,Amsterdam (AMS),Antalya (AYT),Corendon Airlines,52.3091,4.7634,36.9043,30.8019,Tuesday,2654.68,3.3523809523809525,169.45148060511767,7.060478358546569
85,2021-11-18,Amsterdam (AMS),Warsaw (WAW),LOT Polish Airlines,52.3091,4.7634,52.1672,20.9679,Thursday,1101.12,1.5466666666666666,77.67452247823861,3.2364384365932755
86,2021-11-15,Amsterdam (AMS),Warsaw (WAW),LOT Polish Airlines,52.3091,4.7634,52.1672,20.9679,Monday,1101.12,1.5876811594202898,77.67452247823861,3.2364384365932755
87,2021-11-10,Amsterdam (AMS),Warsaw (WAW),LOT Polish Airlines,52.3091,4.7634,52.1672,20.9679,Wednesday,1101.12,1.5694444444444444,77.67452247823861,3.2364384365932755
88,2021-11-05,Amsterdam (AMS),Warsaw (WAW),LOT Polish Airlines,52.3091,4.7634,52.1672,20.9679,Friday,1101.12,1.5611111111111111,77.67452247823861,3.2364384365932755
89,2021-11-01,Amsterdam (AMS),Warsaw (WAW),LOT Polish Airlines,52.3091,4.7634,52.1672,20.9679,Monday,1101.12,1.5876811594202898,77.67452247823861,3.2364384365932755
90,2021-11-10,Amsterdam (AMS),Warsaw (WAW),LOT Polish Airlines,52.3091,4.7634,52.1672,20.9679,Wednesday,1101.12,1.5694444444444444,77.67452247823861,3.2364384365932755
91,2021-10-29,Amsterdam (AMS),Warsaw (WAW),LOT Polish Airlines,52.3091,4.7634,52.1672,20.9679,Friday,1101.12,1.5611111111111111,77.67452247823861,3.2364384365932755
92,2021-10-22,Amsterdam (AMS),Warsaw (WAW),LOT Polish Airlines,52.3091,4.7634,52.1672,20.9679,Friday,1101.12,1.5611111111111111,77.67452247823861,3.2364384365932755
93,2021-10-16,Amsterdam (AMS),Warsaw (WAW),LOT Polish Airlines,52.3091,4.7634,52.1672,20.9679,Saturday,1101.12,1.5421568627450981,77.67452247823861,3.2364384365932755
94,2021-10-31,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Sunday,3003.0,4.082666666666666,280.71659366153506,11.696524735897293
95,2021-10-24,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Sunday,3003.0,4.082666666666666,280.71659366153506,11.696524735897293
96,2021-10-17,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Sunday,3003.0,4.082666666666666,280.71659366153506,11.696524735897293
97,2021-11-25,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Thursday,3003.0,4.032638888888889,280.71659366153506,11.696524735897293
98,2021-11-11,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Thursday,3003.0,4.032638888888889,280.71659366153506,11.696524735897293
99,2021-11-04,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Thursday,3003.0,4.032638888888889,280.71659366153506,11.696524735897293
100,2021-10-28,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Thursday,3003.0,4.032638888888889,280.71659366153506,11.696524735897293
101,2021-10-21,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Thursday,3003.0,4.032638888888889,280.71659366153506,11.696524735897293
102,2021-10-14,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Thursday,3003.0,4.032638888888889,280.71659366153506,11.696524735897293
103,2021-10-07,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Thursday,3003.0,4.032638888888889,280.71659366153506,11.696524735897293
104,2021-11-21,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Sunday,3176.5,4.082666666666666,296.9351514371848,12.372297976549367
105,2021-11-14,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Sunday,3176.5,4.082666666666666,296.9351514371848,12.372297976549367
106,2021-10-31,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Sunday,3176.5,4.082666666666666,296.9351514371848,12.372297976549367
107,2021-11-30,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Tuesday,3176.5,4.034722222222222,296.9351514371848,12.372297976549367
108,2021-11-23,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Tuesday,3176.5,4.034722222222222,296.9351514371848,12.372297976549367
109,2021-11-16,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Tuesday,3176.5,4.034722222222222,296.9351514371848,12.372297976549367
110,2021-11-09,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Tuesday,3176.5,4.034722222222222,296.9351514371848,12.372297976549367
111,2021-11-02,Amsterdam (AMS),Gran Canaria (LPA),TUI fly,52.3091,4.7634,27.9378,-15.3904,Tuesday,3176.5,4.034722222222222,296.9351514371848,12.372297976549367
